アサマフウロ
チングルマ
チシマギキョウ
チングルマ
ツクバネソウ
ツバメオモト
ツマトリソウ
ツリガネニンジン
ツルニンジン
ティムス・コッキネウス
テガタチドリ
テンニンソウ
トガクシショウマ
トウヤクリンドウ
トリカブト
トリガタハンショウヅル
ナメルギボウシ
ニッコウキスゲ
ノハナショウブ
ノコンギク
ノウゴウイチゴ
ノモカリス・フォレスティー
ノリウツギ
ノビネチドリ
ハッポウウスユキソウ
ハクサンフウロ
ハクサンオミナエシ
ハッポウタカネセンブリ
ハクサンイチゲ
タマシャジン
ハイマツ
ハクサンコザクラ
ハクサンチドリ
ハナチダケサシ
ヒオウギアヤメ
カンパヌラ・シェウキツェリ
ヒダカミセバヤ
ヒツジグサ
ビッチュウフウロ
ヒマラヤトラノオ
ヒメアカネキンバイ
ヒメシャクナゲ
ヒメシャジン
フウリンダイコンソウ
ヒマラヤの青いケシ
フシグロセンノウ
プリムラ・ロゼア
ゲウム・リヴァレ
フジアザミ
プリムラ・オーリキュラ
プリムラ・カピタータ
プリムラ・セクンディフローラ
プリムラ・マルギナータ
プルサティラ・ブルガリス
パパベル・カンブリクム
メコノプシス・カンブリカ
プリムラ・ヴィアリー
ベルゲニア・エメイエンシス
ベルゲニア・プルプラッセンス
ポリゴナム・アフィネ
ホソバツメクサ
ホツツジ
ポテンティラ・アルバ
マツムシソウ
マイヅルソウ
ミヤマダイコンソウ
ミズバショウ
ミツバオウレン
ミヤマオダマキ
ミヤマママコナ
ミソガワソウ
ミヤマトウキ
ミヤマトリカブト
ミヤマワレモコウ
ミチノクコザクラ
ミネズオウ
ミヤマアキノキリンソウ
ミヤマアズマギク
ミヤマウイキョウ
ミヤマクワガタ
ミヤマキンポウゲ
ミヤマコウゾリナ
ミヤマダイモンジソウ
ミヤマハンショウヅル
ミヤマトキソウ
ムカゴトラノオ
ムラサキヤシオツツジ
パパベル・カンブリクム
メコノプシス・カンブリカ
メコノプシス・グランディス
メコノプシス・ベトニキフォリア
メコノプシス・ラケモサ
メコノプシス・インテグリフォリア
メコノプシス・ナパウレンシス
モウセンゴケ
ポリゴナム・アフィネ
モミジカラマツ
ヤグルマソウ
ヤナギラン
ヤマホタルブクロ
ヤマハハコ
ヤナギラン
ヤマルリトラノオ
ユウガギク
ユキワリソウ
ヨツバヒヨドリ
リリウム・ランコンゲンセ
リョウブ
レンゲツツジ
レンゲショウマ
ロードデンドロン・ウィリアムシアナム
ワタスゲ
ミヤマワレモコウ
アカンサス
アサガオ
アジサイ
アツモリソウ
アネモネ
アブラナ
アマリリス
アヤメ
アルストロメリア
イチゴ
イブキトラノオ
ウメ
エゾエンゴサク
エゾヤマザクラ
エゾルリムラサキ
オオイヌノフグリ
オオガハス
オオバコ
オオバナノエンレイソウ
オオハンゴンソウ
オトギリソウ
オトメユリ
オンシジウム
カーネーション
ガーベラ
カキ
カキツバタ
カサブランカ
カタクリ
カタバミ
カトレア
カノコユリ
カボチャ
カラスノエンドウ
カントウタンポポ
カンサイタンポポ
キキョウ
キク
キタコブシ
金日成花
金正日花
キュウリ
キョウチクトウ
キリ
キンシバイ
キンセンカ
キンモクセイ
クズ
クマガイソウ
グラジオラス
クリ
クレマチス
クロッカス
クロユリ
ケイトウ
ゲッカコウ
コウリンタンポポ
コケモモ
コスモス
コブシ
コマクサ
サクラ
サクラソウ
サザンカ
サツキ
サフラン
サフランモドキ
サルスベリ
サルビア
ザゼンソウ
シクラメン
シコンノボタン
シャクナゲ
シャクヤク
ジャスミン
シュウメイギク
シラユリ（白百合）
シラン
シロツメクサ
ジンチョウゲ
シンビジウム
スイセン
スイレン
スズラン
スダチ
スノーフレーク
スミレ
セイヨウウスユキソウ
セイヨウタンポポ
ゼラニウム
ソメイヨシノ
ダリア
タンポポ
チゴユリ
チシマザクラ
チューリップ
ツツジ
ツバキ
ツユクサ
デイジー
トマト
トリカブト
ナシ
ナス
ナズナ
ナデシコ
ニッコウキスゲ
ニラ
ニンニク
ネギ
ネジバナ
ネムノキ
ネモフィラ
シャクナゲ
ノアザミ
ノバラ
ハイビスカス
バウヒニア
ハギ
ハクモクレン
ハコベ
ハス
ハナショウブ
ハナズオウ
ハナニラ
ハナミズキ
ハマギク
ハマナス
バラ
ハルジオン
パンジー
ピーマン
ヒガンバナ
ヒナゲシ
ヒマワリ
ヒメアヤメ
ヒメオドリコソウ
ヒメジョオン
ヒヤシンス
ヒルガオ
ビワ
ブーゲンビリア
フウセンカズラ
フキ
フクジュソウ
フジ
ブッソウゲ
フヨウ
フリージア
ブルグマンシア
ベゴニア
ベニバナ
ヘレボラス
ポインセチア
ホウセンカ
ホオズキ
ボケ
ボタン
ホテイアオイ
ホトケノザ
ホトトギス
ポピー
ボロニア
マツバボタン
マリーゴールド
ヒガンバナ
マーガレット
ミカン
ミズバショウ
ミスミソウ
ミヤギノハギ
ミヤマキリシマ
ムクゲ
ムスカリ
ムラサキケマン
ムラサキサギゴケ
ムラサキツユクサ
モウセンゴケ
モモ
モクレン
ヤエザクラ
ヤグルマギク
ヤシオツツジ
ヤナギタンポポ
ヤマブキ
ヤマユリ
ユウガオ
ユキノシタ
ユキヤナギ
ユリ
ヨルガオ
ライラック
ラベンダー
ラン
リラ
リンゴ
リンドウ
ルドベキア
ルピナス
ルリムスカリ
レブンウスユキソウ
レンゲソウ
レンゲツツジ
ワレモコウ
ワスレナグサ
アジサイ
アヤメ
カタクリ
コスモス
ザゼンソウ
スイセン
ツツジ（ヤマツツジ）
ニッコウキスゲ
ハナショウブ
ひまわり
ぼたん
ミズバショウ
ヤシオツツジ
ゆり
紅葉
菜の花
桜
アオキ
アオツヅラフジ
アオモジ
アカネ
アカバナ
アカメガシワ
アギスミレ
アキノウナギツカミ
アキノキリンソウ
アキノタムラソウ
アキノノゲシ
アケビ
アケボノソウ
アサザ
アズキナシ
アセビ
アブラガヤ
アマヅル
アメリカセンダングサ
アメリカフウロ
アラカシ
アリアケスミレ
イグサ
イタドリ
イヌガラシ
イヌタデ
イヌツゲ
イノモトソウ
イボクサ
イロハモミジ
イワショウブ
イワヒトデ
ウツギ
ウバユリ
ウマノアシガタ
ウメバチソウ
ウメモドキ
エゴノキ
エノキグサ
オオシマザクラ
オオデマリ
オオバコ
オカトラノオ
オトギリソウ
オトコエシ
オニスゲ
オニタビラコ
オヘビイチゴ
オランダミミナグサ
カキツバタ
カキドオシ
ガクアジサイ
カスマグサ
カナメモチ
カマツカ
カラムシ
カワラケツメイ
カンガレイ
ガンクビソウ
カンヒザクラ
キジムシロ
キショウブ
キセルアザミ
キッコウハグマ
キツネノボタン
キツネノマゴ
キブシ
キュウリグサ
キランソウ
キンミズヒキ
クサイチゴ
クサギ
クチナシグサ
クマヤナギ
クリ
クリハラン
クロガネモチ
クロバイ
ケキツネノボタン
ゲンノショウコ
コアジサイ
コウゾリナ
コウホネ
コウヤボウキ
コガマ
コクサギ
コケオトギリ
コシダ
コナスビ
コナラ
コバノガマズミ
コバノカモメヅル
コバノタツナミ
コバノミツバツツジ
コブナグサ
コマツカサススキ
コメツブツメクサ
コモチマンネングサ
ゴンズイ
サギソウ
ササクサ
ササユリ
サザンカ
サジガンクビソウ
サルトリイバラ
サワオグルマ
サワギキョウ
サワシロギク
サワヒヨドリ
サワフタギ
シシガシラ
シナマンサク
シモツケ
シャガ
シャシャンボ
シャリンバイ
ショウジョウバカマ
シラタマホシクサ
シロイヌノヒゲ
シロバナサクラタデ
ジロボウエンゴサク
スイカズラ
スイバ
スギ
スズカアザミ
スズカカンアオイ
スズメウリ
スズメノエンドウ
スズメノヤリ
ズミ
スミレ
スルガテンナンショウ
セイタカアワダチソウ
セイヨウタンポポ
センニンソウ
センボンヤリ
ソヨゴ
ダイコンソウ
タイサンボク
タイワンホトトギス
タカサゴユリ
タチシオデ
タチツボスミレ
タヌキマメ
タマミズキ
タラノキ
チガヤ
チゴザサ
チヂミザサ
ツクバネウツギ
ツブラジイ
ツルアリドオシ
ツルグミ
ツルマメ
ツワブキ
テーダマツ
テイカカズラ
トウカイコモウセンゴケ
トウカイタンポポ
トウバナ
ドクダミ
トサミズキ
トチノキ
トベラ
ナガバオモダカ
ナキリスゲ
ナツハゼ
ナンキンハゼ
ナンバンギセル
ニガイチゴ
ニガナ
ニョイスミレ
ニワトコ
ヌマダイコン
ヌマトラノオ
ネコハギ
ネジキ
ネジバナ
ノアザミ
ノアズキ
ノイバラ
ノカンゾウ
ノギラン
ノゲシ
ノコギリシダ
ノコンギク
ノダケ
ノハナショウブ
ノミノフスマ
ノリウツギ
ハイメドハギ
ハクモクレン
ハナイカダ
ハナイバナ
ハナタデ
ハナトラノオ
ハナミョウガ
ハリエンジュ
ハルリンドウ
ハンカイソウ
ハンゲショウ
ヒサカキ
ヒメウズ
ヒメカナワラビ
ヒメキンミズヒキ
ヒメコウゾ
ヒメジソ
ヒメシロネ
ヒメスミレ
ヒメハギ
ヒメヤブラン
ヒヨドリジョウゴ
ヒヨドリバナ
フジ
フモトスミレ
ヘクソカズラ
ヘビイチゴ
ホウチャクソウ
ホオノキ
ホザキノミミカキグサ
ホトトギス
ボントクタデ
マルバアオダモ
マルバウツギ
マンリョウ
ミカヅキグサ
ミズギボウシ
ミゾソバ
ミソハギ
ミツバアケビ
ミツバツチグリ
ミツバツツジ
ミミカキグサ
ミヤコグサ
ムカゴニンジン
ムラサキカタバミ
ムラサキケマン
ムラサキサギゴケ
ムラサキシキブ
ムラサキニガナ
モウセンゴケ
モチツツジ
モミジイチゴ
モミジバフウ
ヤクシソウ
ヤシャブシ
ヤノネグサ
ヤハズエンドウ
ヤブコウジ
ヤブタビラコ
ヤブツバキ
ヤブツルアズキ
ヤブデマリ
ヤブニンジン
ヤブヘビイチゴ
ヤブマオ
ヤブミョウガ
ヤブムラサキ
ヤブラン
ヤマアジサイ
ヤマウルシ
ヤマザクラ
ヤマツツジ
ヤマネコノメソウ
ヤマハギ
ヤマハッカ
ヤマボウシ
ヤマモモ
ユウゲショウ
ヨゴレネコノメ
ヨシ
ラクウショウ
リョウブ
ロウバイ
ワレモコウ
アーモンド
アイ
アオカズラ
アオキ
アオギリ
アオジソ
アオツヅラフジ
アオダモ
アオマムシグサ
アカザ
アカジソ
アカツメクサ
アカネ
アカマイ</font></a></td>
アカミノイヌツゲ</font></a></td>
アカマツ
アカメガシワ
アカモノ
アカバナサンザシ
アカバナマンサク
アカバナムシヨケギク
アカミヤドリギ
アカヤシオ
アカヤジオウ
アキカラマツ
アキギリ
アキグミ
アキノキリンソウ
アキノノゲシ
アクシバ
アケビ
アケボノアセビ
アサガオ
アサクラザンショウ
アサツキ
アサマリンドウ
アザミ
アザレア
アシ
アジサイ
アシタバ
アズキ
アズマイチゲ
アズマギク
アズマシロカネソウ
アスパラガス
アセビ
アッサムチャ
アナマスミレ
アブラチャン
アブラナ
アベマキ
アマ
アマギアマチャ
アマチャ
アマチャヅル
アマドコロ
アマナ
アマナツ
アマミセイシカ
アミガサユリ
アメジストセージ
アメリカイヌホオズキ
アメリカセンダングサ
アメリカネナシカズラ
アラカシ
アレチギシギシ
アロエ
アロエベラ
アロニア/アローニア
アワ
アワガタケスミレ
アワガタケスミレ(粟ヶ岳)
アンズ
イ
イイギリ
イエローグァバ
イカリソウ
イケマ
イソギク
イソスミレ
イソツツジ
イタチハギ
イタドリ
イチイ
イチゴ
イチジク
イチハツ
イチヤクソウ
イチョウ
イチリンソウ
イトヒメハギ
イヌキクイモ
イヌコウジュ
イヌサフラン
イヌタデ
イヌビワ
イヌホウズキ
イネ
イノコズチ
イブキジャコウソウ
イブキトラノオ
イボタノキ
イラクサ
イワイチョウ
イワオトギリ
イワガラミ
イワギボウシ
イワキンバイ
イワタバコ
イワナシ
イワハゼ
イワベンケイ
イワユリ
イワユリ（佐渡）
インドジャボク
インドモッコウ
ウイキョウ
ウキクサ
ウグイスカグラ
ウコギ
ウゴツクバネウツギ
ウコン
ウコン（イロハカエデ系）
ウサギギク
ウスバサイシン
ウズラバハクサンチドリ
ウチワサボテン
ウチワノキ
ウツギ
ウツボグサ
ウド
ウバメガシ
ウマノスズクサ
ウメ
ウメバチソウ
ウメモドキ
ウラシマソウ
ウラジロガシ
ウラルカンゾウ
ウワウルシ
ウワバミソウ
ウワミズザクラ
ウンシュウミカン
ウンラン
エゴノキ
エゾアジサイ
エゾイチゲ
エゾウコギ
エゾエンゴサク
エゾオオバコ
エゾオヤマリンドウ
エゾクロユリ
エゾシロネ
エゾタンポポ
エゾツリバナ
エゾニワトコ
エゾノタチツボスミレ
エゾミソハギ
エゾリンドウ
エゾヤマザクラ
エゾユズリハ
エチゴキジムシロ
エチゴトラノオ
エチゴルリソウ
エッチュウミセバヤ
エドヒガン
エノキ
エビスグサ
エビヅル
エビネ
エンジュ
エンレイソウ
オウゴンオニユリ
オウバイ
オウレン
オオアマナ
オオイヌノフグリ
オオイワカガミ
オオウバユリ
オオウラジロノキ
オオグルマ
オオケタデ
オオコメツツジ
オオサカズキ/紅梅系
オオジシバリ
オオシマザクラ
オオチドメ
オオナルコユリ
オオニンニク
オオバイボタ
オオバキスミレ
オオバギボウシ
オオバクロモジ
オオバコ
オオバジャノヒゲ
オオハナウド
オオバナノエンレイソウ
オオバミゾホオズキ
オオバユキザサ
オオハンゲ
オオマツヨイグサ
オオミスミソウ（雪割草）
オオヤマザクラ
オオヤマレンゲ
オオユリワサビ
オオヨモギ
オカウコギ
オカトラノオ
オギ
オキナグサ
オククルマムグラ
オクチョウジザクラ
オクモミジハグマ
オクラ
オケラ
オシロイバナ
オゼコウホネ
オゼヌマアザミ
オタカラコウ
オタネニンジン
オトギリソウ
オトコエシ
オドリコソウ
オナモミ
オニアザミ
オニク
オニグルミ
オニタビラコ
オニツルウメモドキ
オニドコロ
オニナスビ
オニノゲシ
オニノヤガラ
オニバス
オニユリ
オミナエシ
オモダカ
オモト
オヤマボクチ
オヤマリンドウ
オランダイチゴ
オランダセンニチ
オリーブノキ
ガガイモ
カカオノキ
ガガブタ
カキ
カキドオシ
ガクウラジロヨウラク
カクレミノ
鹿児島紅梅
カザグルマ
カサスゲ
カシグルミ
ガッサンチドリ
カジイチゴ
カシワ
ガジュツ
カスミザクラ
カタクリ
カタバミ
カナムグラ
カニコウモリ
カノコソウ
カブ
カボチャ
ガマ
ガマズミ
カマツカ
カミツレ
カメバヒキオコシ
カヤ
カラシナ
カラスウリ
カラスノエンドウ
カラスビシャク
カラタチ
カラタチバナ
カラハナソウ
カリガネソウ
カリン
河津桜
カワノナツダイダイ
カワミドリ
カワラケツメイ
カワラナデシコ
カワラハハコ
カワラヨモギ
カンアオイ
カンゾウ
カンツバキ
カンヒザクラ
カンラン
キイチゴ
キウイ
キエビネ
キオン
キカラスウリ
キキョウ
キク（食用ギク）
キクイモ
キクザキイチゲ
キクニガナ
キクバオウレン
キササゲ
ギシギシ
キジムシロ
紀州みかん
キダチアロエ
キダチチョウセンアサガオ
キヅタ
キツネノカミソリ
キツネノボタン
キツリフネ
キハダ
キバナアキギリ
キバナイカリソウ
キバナオウギ
キバナカタクリ
キバナノアマナ
キバナノコマノツメ
キブシ
キミズミ
キミノウグイスカグラ
キミノバンジロウ
キャラボク
キュウリ
ギョイコウ（御衣黄）
ギョウジャニンニク
キョウチクトウ
キランソウ
キリ
キリンソウ
キンカン
キンギンボク
キングサリ
キンコウカ
キンシバイ
キンズ
キンミズヒキ
キンモクセイ
ギンモクセイ
グァバ
クガイソウ
クコ
クサアジサイ
クサイチゴ
クサギ
クサスギカズラ
クサソテツ
クサノオウ
クサフジ
クサボケ
クサボタン
クズ
クスノキ
クチナシ
クヌギ
クマガイソウ
クマコケモモ
クマザサ
クマシデ
クマツヅラ
クマヤナギ
クララ
クリ
クリスマスローズ
クリンソウ
クルマユリ
クローバー
クローブ
クロガネモチ
クロチク
クロッカス/クロカス
クロヅル
クロバナエンジュ
クロバナヒキオコシ
クロマツ
クロミノウグイスカグラ
クロモジ
クロユリ
クワ
クワズイモ
ケアブラチャン
ケイガイ
ケイトウ
ケイヒ
ケキブシ
ケシ
ゲッケイジュ
ゲットウ
ケナシヤブデマリ
ケマンソウ
ケラマツツジ
ゲンカイツツジ
ゲンゲ
ゲンチアナ
ゲンノショウコ
ケンポナシ
コーヒー
ゴーヤ
コーン
コアカザ
コイワカガミ
コウホネ
コウメバチソウ
コウヤマキ
コウライニンジン
コオニユリ
コガマ
コガネバナ
コキンレイカ
コケモモ
コシジオウレン
コシノカンアオイ
コシノコバイモ
コシノチャルメルソウ
ゴシュユ
コショウ
コセリバオウレン
ゴゼンタチバナ
コダチチョウセンアサガオ
コタニワタリ
ゴナギ
コナラ
コノテガシワ
コブシ
コバイケイソウ
コバノイチヤクソウ
コヒガンバナ
ゴボウ
ゴマ
コマクサ
ゴマナ
コミヤマカタバミ
コムラサキ
コメツブウマゴヤシ（コメツブツメクサ）
コメナモミ
ゴヨウアケビ
ゴヨウイチゴ
ゴヨウツツジ
コルキカム
ゴンズイ
コンフリー（ヒレハリソウ）
コンニャク
サイカチ
サイハイラン
嵯峨菊（さがぎく）
サギソウ
サクラ
サクラソウ
サクラタデ
サクランボ
ザクロ
ササバギンラン
ササユリ
サザンカ
サジオモダカ
ザゼンソウ
サツマイモ
サネカズラ
サフラン
サボンソウ
サラシナショウマ
サルトリイバラ
サルナシ
サルメンエビネ
サワアザミ
サワオグルマ
サワグルミ
サワハコベ
サワフタギ
サワラン
サンカクヅル
サンカヨウ
サンザシ
サンシュユ
サンショウ
サンショウバラ
シーカーシャー/シークヮサー
シイタケ
シオデ
シオン
ジキタリス
シキミ
シコタンハコベ
シシウド
ジシバリ
シシヒトツバ
シソ
シダレザクラ
シダレヤナギ
シデコブシ
シナカンゾウ
シナノオトギリ
シナノキ
シナマンサク
シナレンギョウ
シモクレン
シモツケ
シャガ
ジャガイモ
シャク
シャクチリソバ
シャクナゲ
シャクヤク
ジャケツイバラ
ジャコウソウ
シャシャンボ
ジャノヒゲ
シュウカイドウ
ジュウガツザクラ/十月桜
ジュウニヒトエ
シュウメイギク
数珠掛桜/ジュズカケザクラ
ジュズダマ
シュロ
シュンラン
ショウガ
ショウキズイセン
ショウジョウバカマ
ショウブ
ショカツサイ
ジョチュウギク
シラカシ
シラカンバ（シラカバ）
シラゲシャジン
シラタマノキ
シラネアオイ
シラネセンキュウ
シラヤマギク
シラン
シロウマアサツキ
シロガラシ
シロシキブ
シロスミレ
シロダモ
シロツメクサ
シロネ
シロバナエゾタンポポ
シロバナエンレイソウ
シロバナシラン
シロバナタンポポ
シロバナトウウチソウ
シロバナトリカブト
シロバナノヘビイチゴ
シロバナマンジュシャゲ
シロバナムシヨケギク
ジロボウエンゴサク
シロミナンテン
シロヤシオ
ジンチョウゲ
スイカ
スイカズラ
スイセン
スイバ
スイレン
スカシユリ
スギ
スギナ
スギヒラタケ
ススキ
スズラン
スダジイ
スダチ
ズダヤクシュ
ステビア
ストロベリーグァバ
スナビキソウ
スハマソウ（動画）
スベリヒユ
ズミ
スミレ
スミレサイシン
スモモ
セージ
セイシカ
セイタカアワダチソウ
セイヨウアブラナ
セイヨウオトギリソウ
セイヨウサンザシ
セイヨウシャクナゲ
セイヨウスモモ
セイヨウタンポポ
セイヨウノコギリソウ
セイヨウバクチノキ
セイヨウヒルガオ
セイヨウミヤコグサ
セイヨウムラサキ
セイヨウリンゴ
セイロンニッケイ/シナモン
セキショウ
セッコク
セツブンソウ
セナミスミレ（イソスミレ）
ゼニアオイ
セネガ
セリ
セリバオウレン
センキュウ
禅寺丸柿（ゼンジマル）
センダン
ゼンテイカ
センナ
センニンソウ
センブリ
ゼンマイ
センリョウ
ソウシシヨウトチバニンジン
ソウヤイチゲ
ソクズ
ソシンロウバイ
ソテツ
ソナレマツムシソウ
ソバ
ソバナ
ソメイヨシノ
ソヨゴ
ダイオウ
ダイコン
ダイコンソウ
タイサンボク
ダイズ
ダイダイ
タイツリソウ
タイトゴメ
タイム（タチジャコウソウ）
ダイモンジソウ
タカサゴユリ
タカサブロウ
タカトウダイ
タケニグサ
タコノアシ
タチアオイ
タチジャコウソウ（タイム）
タツナミソウ
タデ
タテヤマウツボグサ
タテヤマリンドウ
タニウツギ
タニギキョウ
タヌキラン
タネツケバナ
タバコ
タブノキ
タマアジサイ
タマガワホトトギス
タマネギ
タマバシロヨメナ
タムシバ
タムラソウ
タラノキ
タラヨウ
ダンコウバイ
タンチョウソウ</font></a></td>
タンポポ
チガヤ
竹節人参（チクセツニンジン）（トチバニンジン）
チゴユリ
チコリー
チシマギキョウ
チヂミザサ
チドメグサ
チマキザサ
チャ
チャ（アッサムチャ）
チャボガヤ
チューリップ
チョークベリー/チョコベリー
チョウジノキ
チョウジカズラ
チョウジギク
チョウセンアサガオ
チョウセンゴミン
チョウセンゴヨウ
チョウセンニンジン
チョウセンヒメツゲ
チョウセンレンギョウ
チョロギ
チングルマ
ツクシ
ツクバネソウ
ツチアケビ
ツノハシバミ
ツバキ
ツバメオモト
ツボスミレ
ツマトリソウ
ツユクサ
ツリガネニンジン
ツリフネソウ
ツルアリドオシ
ツルコケモモ
ツルシキミ
ツルドクダミ
ツルナ
ツルニンジン
ツルボ
ツルムラサキ
ツルリンドウ
ツルレイシ
ツワブキ
テイカカズラ
テウチグルミ
テッポウユリ
テリハタチツボスミレ
テングスミレ
テンダイウヤク
テンチャ
テンナンショウ
田七ニンジン
テンニンソウ</a>　</font></td>
ドイツスズラン
トウイノコズチ
トウオオバコ
トウカエデ
唐辛子（トウガラシ）
トウガン
トウキ
トウギボウシ
トウグミ
トウゲシバ
トウゴクミツバツツジ
トウゴマ
トウシンソウ
トウネズミモチ
トウバナ
トウホクダイモンジソウ
トウモロコシ
トキワイカリソウ
トキワツユクサ
トキワハゼ
トキワマンサク</font></a></td>
ドクウツギ</font></a></td>
トクサ
ドクゼリ
ドクダミ
トサミズキ
トチノキ
トチバニンジン
トチュウ
トネアザミ
トネリコ
トビシマカンゾウ
トベラ
トマト
トリアシショウマ
トリガタハンショウヅル
トリカブト
トロロアオイ
ナエバキスミレ
ナガイモ
ナガキンカン（ナガミキンカン）
ナガハシスミレ
ナガバシラヤマギク
ナギナタコウジュ
ナシ
ナス
ナズナ
ナタマメ
ナツエビネ
ナツズイセン
ナツツバキ
ナツトウダイ
ナツハゼ
ナツミカン
ナツメ
ナナカマド
ナニワズ
ナノハナ
ナルコユリ
ナワシロイチゴ
ナンキンハゼ
ナンキンマメ
ナンテン
ナンテンハギ
ナンバンギセル
ナンブアザミ
ナンブタカネアザミ
ニオイスミレ
匂い椿（においツバキ）
ニガウリ
ニガキ
ニッキ
ニシキギ
ニシキゴロモ
ニチニチソウ
ニッケイ
ニッコウキスゲ
ニホンスイセン
ニラ
ニリンソウ
ニワウメ
ニワトコ
ニンジン</font></a></td>
ニンニク
ニンドウ
ヌマトラノオ
ヌルデ
ネギ
ネクタリン
ネコヤナギ
ネズ
ネズミモチ
ネジバナ
ネナシカズラ
ネパールゲンノショウコ
ネバリノギラン
ネムノキ
ノアザミ
ノイバラ
ノウゴウイチゴ
ノウゼンカズラ
ノウルシ
ノカンゾウ</font></a></td>
ノキシノブ
ノゲシ</font></a></td>
ノコンギク
ノッポロガンクビソウ
野中ザクラ
ノハラアザミ
ノビネチドリ
ノビル
ノブドウ
ノボタン
ノボロギク
ノリウツギ
バイカイカリソウ
バイカウツギ
バイカオウレン
パイナップル
ハイビスカス
ハエドクソウ
ハクサンイチゲ
ハクサンオミナエシ
ハクサンシャジン
ハクサンチドリ
ハクサントリカブト
ハクサンフウロ
ハクチョウゲ
ハグロソウ
ハコベ
バショウ
ハシリドコロ
ハス
ハスカップ
ハゼノキ
パセリ
ハッカ
ハトムギ
ハナイカダ
ハナウド
花梅（ハナウメ）/雲竜梅
ハナクチナシ
ハナショウブ
ハナダイコン
バナナ
ハナノキ
ハナヒリノキ
ハナミョウガ
ハナモモ/ヤグチ
バニラ
パパイア
ハハコグサ
ハブソウ
ハマエンドウ
ハマオミナエシ
ハマカンゾウ
ハマギク
ハマゴウ
ハマダイコン
ハマツルボ
ハマナス
ハマニガナ
ハマハタザオ
ハマビシ
ハマヒルガオ
ハマボウフウ
ハマボッス
ハラン
ハリエンジュ
ハリギリ
ハリブキ
ハルジオン
ハルノノゲシ
ハルユキノシタ
ハンカチノキ
バンジロウ
ハンゲショウ
ヒイラギ
ヒイラギナンテン
ピーマン
ヒオウギ
ヒカゲノイノコズチ
ヒカゲノカズラ
ヒガンバナ
ヒキオコシ
肥後椿（日本錦）
ヒサカキ
ヒシ
ヒツジグサ
ヒトツバ
ヒトリシズカ
ヒナゲシ
ヒナザクラ
ヒナタイノコズチ
ビナンカズラ（サネカズラ）
ヒノキ
ヒマワリ
ヒメアオキ
ヒメウコギ
ヒメオドリコソウ
ヒメガマ
ヒメカンスゲ
ヒメカンゾウ
ヒメキンミズヒキ
ヒメコウゾ
ヒメコブシ
ヒメサユリ
ヒメシャガ
ヒメシャクナゲ
ヒメジョオン
ヒメスミレ
ヒメツルソバ
ヒメハギ
ヒメヤブラン
ビャクブ
ヒュウガミズキ
ヒョウタンボク
ビヨウヤナギ
ヒヨドリジョウゴ
ヒルガオ
ビワ
フイリミヤマスミレ
フウリンブッソウゲ
フキ
フキタンポポ
フキユキノシタ
フクジュソウ
ブクリョウ
フサアカシア
フサザクラ
フジ
フジバカマ
ブタクサ
フタリシズカ
フッキソウ
ブッソウゲ
フデリンドウ
